dist,sum_dist
7.05e-05,-22.339
7.06e-05,-28.689
7.07e-05,-6.54982
7.08e-05,-4.84576
7.09e-05,-19.8405
7.1e-05,-22.4309
7.11e-05,-39.32
7.12e-05,-14.9838
7.13e-05,-11.2881
7.14e-05,-17.5386
7.15e-05,-9.78658
7.16e-05,-14.7971
7.17e-05,-41.2402
7.18e-05,19.0021
7.19e-05,-2.98885
7.2e-05,1.60416
7.21e-05,-31.5607
7.22e-05,-14.391
7.23e-05,-28.6169
7.24e-05,-11.6385
7.25e-05,-15.047
7.26e-05,-20.1737
7.27e-05,-7.79063
7.28e-05,11.2803
7.29e-05,-13.9916
7.3e-05,-15.7244
7.31e-05,-15.1779
7.32e-05,-18.0912
7.33e-05,-25.8115
7.34e-05,-23.6906
7.35e-05,1.59683
7.36e-05,-23.4888
7.37e-05,-5.86411
7.38e-05,2.61285
7.39e-05,-38.0908
7.4e-05,-26.1631
7.41e-05,-21.6415
7.42e-05,15.9233
7.43e-05,-23.0137
7.44e-05,-24.131
7.45e-05,-25.6046
7.46e-05,-26.7965
7.47e-05,-15.2764
7.48e-05,-8.42964
7.49e-05,-26.2656
7.5e-05,2.12658
7.51e-05,-31.9108
7.52e-05,-4.08064
7.53e-05,-11.3733
7.54e-05,-11.4943
7.55e-05,-27.4314
7.56e-05,-12.4864
7.57e-05,3.38848
7.58e-05,-0.495214
7.59e-05,-25.4593
7.6e-05,-23.266
7.61e-05,-13.1104
7.62e-05,-6.65358
7.63e-05,-19.7773
7.64e-05,-21.0204
7.65e-05,-21.5048
7.66e-05,-14.7902
7.67e-05,-17.3959
7.68e-05,-1.52359
7.69e-05,-12.2612
7.7e-05,-13.0817
7.71e-05,-14.4786
7.72e-05,-12.7232
7.73e-05,-26.2572
7.74e-05,-4.98167
7.75e-05,-21.6754
7.76e-05,-29.8508
7.77e-05,-8.56645
7.78e-05,21.8524
7.79e-05,-21.4155
7.8e-05,-28.4642
7.81e-05,4.20717
7.82e-05,-17.0723
7.83e-05,-4.22897
7.84e-05,-12.359
7.85e-05,-36.1273
7.86e-05,-1.43143
7.87e-05,-8.85985
7.88e-05,-35.5991
7.89e-05,-42.0377
7.9e-05,22.6254
7.91e-05,-17.1231
7.92e-05,-17.0945
7.93e-05,-43.8621
7.94e-05,7.23832
7.95e-05,-8.60183
7.96e-05,-11.4065
7.97e-05,-24.2525
7.98e-05,-0.637076
7.99e-05,-7.39362
8e-05,-34.6427
8.01e-05,-10.6186
8.02e-05,-25.7275
8.03e-05,-16.5455
8.04e-05,-30.6407
8.05e-05,-17.9762
8.06e-05,-60.5638
8.07e-05,4.23212
8.08e-05,2.99396
8.09e-05,-3.28125
8.1e-05,-29.4097
8.11e-05,4.31324
8.12e-05,-7.85604
8.13e-05,-17.1091
8.14e-05,-13.6857
8.15e-05,-1.7543
8.16e-05,-41.1411
8.17e-05,1.38192
8.18e-05,-11.2249
8.19e-05,-11.1871
8.2e-05,-5.64212
8.21e-05,-1.45381
8.22e-05,-36.404
8.23e-05,1.16467
8.24e-05,1.17207
8.25e-05,-32.5283
8.26e-05,-22.4844
8.27e-05,2.30652
8.28e-05,-29.1437
8.29e-05,32.758
8.3e-05,-37.9458
8.31e-05,-45.0643
8.32e-05,-19.4056
8.33e-05,6.62344
8.34e-05,-17.8023
8.35e-05,-21.4028
8.36e-05,-19.3145
8.37e-05,-39.463
8.38e-05,-36.311
8.39e-05,-12.4371
8.4e-05,-16.5533
8.41e-05,-34.2302
8.42e-05,-4.54256
8.43e-05,-11.1016
8.44e-05,-17.1179
8.45e-05,-17.2338
8.46e-05,-33.1606
8.47e-05,-25.4642
8.48e-05,7.58474
8.49e-05,6.73958
8.5e-05,-20.9465
8.51e-05,-25.2691
8.52e-05,-31.4757
8.53e-05,-11.5411
8.54e-05,14.8568
8.55e-05,-17.8883
8.56e-05,-25.5167
8.57e-05,-22.7017
8.58e-05,-10.2076
8.59e-05,-38.0761
8.6e-05,-31.9759
8.61e-05,-38.0573
8.62e-05,-17.9555
8.63e-05,1.83966
8.64e-05,-1.7899
8.65e-05,-7.45567
8.66e-05,-30.169
8.67e-05,6.65903
8.68e-05,-14.4874
8.69e-05,-12.8456
8.7e-05,-14.7659
8.71e-05,15.3212
8.72e-05,-38.4176
8.73e-05,-19.9889
8.74e-05,-1.99832
8.75e-05,-19.6716
8.76e-05,-1.6714
8.77e-05,-20.0663
8.78e-05,-16.6308
8.79e-05,-13.9013
8.8e-05,-4.21714
8.81e-05,-12.5294
8.82e-05,-0.182862
8.83e-05,20.3175
8.84e-05,18.4085
8.85e-05,-23.9965
8.86e-05,1.81034
8.87e-05,-11.7816
8.88e-05,-15.2341
8.89e-05,-29.6889
8.9e-05,-18.316
8.91e-05,22.5106
8.92e-05,-4.78048
8.93e-05,-5.47223
8.94e-05,-14.9936
8.95e-05,-9.40526
8.96e-05,-23.1883
8.97e-05,-2.84682
8.98e-05,-3.03943
8.99e-05,-14.9079
9e-05,-35.6489
9.01e-05,-15.118
9.02e-05,-7.08666
9.03e-05,4.18018
9.04e-05,-4.21831
9.05e-05,-2.22074
9.06e-05,-4.75334
9.07e-05,-28.6841
9.08e-05,-25.1443
9.09e-05,-24.3001
9.1e-05,-23.5096
9.11e-05,-15.7716
9.12e-05,14.0786
9.13e-05,-14.4324
9.14e-05,-20.8743
9.15e-05,-28.0274
9.16e-05,-29.6126
9.17e-05,-12.9503
9.18e-05,-38.0519
9.19e-05,-9.69407
9.2e-05,-15.3835
9.21e-05,-22.0342
9.22e-05,-8.83057
9.23e-05,-0.189568
9.24e-05,2.8888
9.25e-05,-8.17183
9.26e-05,-2.07215
9.27e-05,6.23044
9.28e-05,15.1786
9.29e-05,-17.894
9.3e-05,-16.7631
9.31e-05,-4.68413
9.32e-05,-6.48841
9.33e-05,-27.1105
9.34e-05,-27.8803
9.35e-05,-17.2878
9.36e-05,-17.7233
9.37e-05,-19.1935
9.38e-05,-13.8992
9.39e-05,-17.2431
9.4e-05,6.29807
9.41e-05,-25.6624
9.42e-05,-14.7577
9.43e-05,-20.6154
9.44e-05,-9.97265
9.45e-05,-6.93922
9.46e-05,-10.1086
9.47e-05,-6.78781
9.48e-05,7.9628
9.49e-05,-3.7519
9.5e-05,-25.6823
9.51e-05,17.0762
9.52e-05,-21.0216
9.53e-05,-49.0051
9.54e-05,-10.0636
9.55e-05,-14.4999
9.56e-05,-4.03894
9.57e-05,-14.0088
9.58e-05,-1.5263
